lu_id,smiles_canonical,inchikey,leaving_group,delta_g_kJmol,dg_kcal,EA,ESP1,ESP2
38,Clc1cccc(Cl)n1,FILKGCRCWDMBKA-UHFFFAOYSA-N,Cl,77.20248503733569,18.452,-27.98123,62.58264024,49.83031032
39,Clc1ccnc(Cl)c1,TYPVHTOETJVYIV-UHFFFAOYSA-N,Cl,77.35581284754645,18.488,-23.15688,71.977352,46.52507583999999
40,FC(F)(F)c1cccnc1Cl,RXATZPCCMYMPME-UHFFFAOYSA-N,Cl,77.688711717262,18.568,-5.017324,77.18375424,105.18529976
41,FC(F)(F)c1cccc(Cl)n1,ADVQMCQMDHBTHJ-UHFFFAOYSA-N,Cl,78.90938441252919,18.86,4.727863,77.82470119999999,100.6469568
42,NC(=O)c1cc(Cl)ccn1,XIHHOUUTBZSYJH-UHFFFAOYSA-N,Cl,79.78106568333925,19.068,-5.692733,70.81512048,25.18742896000001
43,Clc1ccnc2ccccc12,KNDOFJFSHZCKGT-UHFFFAOYSA-N,Cl,79.88186139039246,19.092,27.305820999999995,44.27889544,-33.8950024
44,CNC(=O)c1cc(Cl)ccn1,BGVBBMZMEKXUTR-UHFFFAOYSA-N,Cl,80.50579795790702,19.241,8.104908,68.47438168000001,1.8855614399999967
45,Clc1ncccc1Br,HDYNIWBNWMFBDO-UHFFFAOYSA-N,Cl,81.09178130426102,19.381,-23.15688,59.811242320000005,45.924588160000006
46,Clc1cccnc1Cl,MAKFMOSBBNKPMS-UHFFFAOYSA-N,Cl,81.12575981400299,19.39,-27.98123,60.06767968,49.43023624
47,Clc1ccc(Br)cn1,PEAOEIWYQVXZMB-UHFFFAOYSA-N,Cl,82.2145809196315,19.65,-17.367659999999997,61.37497048,63.40575856
48,Clc1cc(N2CCCC2)ncn1,DJVYVHPCLCIYDY-UHFFFAOYSA-N,Cl,82.38839428409001,19.691,-56.92732999999999,22.65284544,-161.212658
49,COc1ccc2c(Cl)ccnc2c1,UKTYNFPTZDSBLR-UHFFFAOYSA-N,Cl,82.6292559955602,19.749,13.797641,32.94686616,-64.56054256
50,Clc1ccc(Cl)nc1,GCTFDMFLLBCLPF-UHFFFAOYSA-N,Cl,83.04147924451497,19.847,-22.19201,60.39800648000001,65.09973464000001
51,Clc1ccc(C2OCCO2)cn1,XTBNVXNLXPGCDL-UHFFFAOYSA-N,Cl,84.77521338964743,20.262,-45.34889,29.86551752,-32.6441956
52,Clc1ccnc(OCc2ccccc2)c1,YVYOMLRBHNXGEU-UHFFFAOYSA-N,Cl,86.22936428295577,20.609,-28.22,42.61701064,-47.41882008
53,COc1cc2nccc(Cl)c2cc1OC,WRVHQEYBCDPZEU-UHFFFAOYSA-N,Cl,87.57997496042802,20.932,3.666506,21.62973192,-97.33611576
